latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
48.18656,-64.9242,301.04,0.42,0.61,2025-10-29,0729,N,nominal,2.0NRT,277.49,1.27,N
32.48515,-102.09818,320.56,0.74,0.76,2025-10-29,0735,N,nominal,2.0NRT,275.7,2.32,N
48.18948,-64.92252,296.87,0.42,0.61,2025-10-29,0729,N,nominal,2.0NRT,276.37,0.63,N
48.2537,-79.01968,325.55,0.39,0.36,2025-10-29,0729,N,nominal,2.0NRT,274.72,2.07,N
48.2546,-79.02489,312.72,0.39,0.36,2025-10-29,0729,N,nominal,2.0NRT,270.26,1.79,N
46.04663,-73.14508,297.76,0.43,0.46,2025-10-29,0731,N,nominal,2.0NRT,281.16,1.79,N
46.04535,-73.13972,300.79,0.43,0.46,2025-10-29,0731,N,nominal,2.0NRT,278.47,1.17,N
45.78169,-73.91318,301.34,0.41,0.45,2025-10-29,0731,N,nominal,2.0NRT,271,0.67,N
46.5227,-84.37464,306.65,0.42,0.37,2025-10-29,0731,N,nominal,2.0NRT,277.47,1.06,N
46.51998,-84.38103,297.25,0.42,0.37,2025-10-29,0731,N,nominal,2.0NRT,276.44,1.06,N
46.51928,-84.3756,304.55,0.42,0.37,2025-10-29,0731,N,nominal,2.0NRT,278.05,1.06,N
46.51454,-84.39375,326.54,0.42,0.37,2025-10-29,0731,N,nominal,2.0NRT,276.53,1.77,N
45.07241,-83.40489,329.68,0.39,0.36,2025-10-29,0731,N,nominal,2.0NRT,286.11,2.77,N
45.07161,-83.40665,328.02,0.39,0.36,2025-10-29,0731,N,nominal,2.0NRT,283.61,2.57,N
45.31788,-85.30306,302.41,0.43,0.38,2025-10-29,0731,N,nominal,2.0NRT,280.25,1.13,N
45.06564,-84.82545,299.77,0.42,0.37,2025-10-29,0731,N,nominal,2.0NRT,274.6,0.31,N
43.27507,-79.79478,322.86,0.42,0.37,2025-10-29,0731,N,nominal,2.0NRT,284.13,2.25,N
43.27351,-79.79798,328,0.42,0.37,2025-10-29,0731,N,nominal,2.0NRT,281.17,1.78,N
43.27444,-79.80305,302.7,0.42,0.37,2025-10-29,0731,N,nominal,2.0NRT,280.98,1.78,N
43.27198,-79.8093,327.11,0.42,0.37,2025-10-29,0731,N,nominal,2.0NRT,284.48,4.56,N
43.27106,-79.80424,295.02,0.42,0.37,2025-10-29,0731,N,nominal,2.0NRT,280.73,1.94,N
43.26767,-79.8054,321.03,0.42,0.37,2025-10-29,0731,N,nominal,2.0NRT,281.9,1.94,N
43.26429,-79.80656,295.42,0.42,0.37,2025-10-29,0731,N,nominal,2.0NRT,278.29,0.57,N
43.29309,-79.9845,297.81,0.41,0.37,2025-10-29,0731,N,nominal,2.0NRT,277.88,0.94,N
43.07052,-80.86014,314.32,0.4,0.37,2025-10-29,0731,N,nominal,2.0NRT,276.35,1.15,N
42.81615,-80.09425,311.55,0.41,0.37,2025-10-29,0731,N,nominal,2.0NRT,276.95,1.26,N
42.87659,-81.22583,295.32,0.39,0.36,2025-10-29,0731,N,nominal,2.0NRT,275.19,0.46,N
42.96657,-81.87165,315.88,0.39,0.36,2025-10-29,0731,N,nominal,2.0NRT,274.92,1.19,N
42.81907,-81.32631,300.36,0.39,0.36,2025-10-29,0731,N,nominal,2.0NRT,275.75,1.01,N
42.94313,-82.41596,303.25,0.38,0.36,2025-10-29,0731,N,nominal,2.0NRT,276.51,0.72,N
43.42019,-85.927,305.44,0.43,0.38,2025-10-29,0731,N,nominal,2.0NRT,276.02,0.47,N
43.70347,-88.38776,296.02,0.53,0.42,2025-10-29,0731,N,nominal,2.0NRT,275.92,0.93,N
42.31299,-82.04919,310.1,0.39,0.36,2025-10-29,0731,N,nominal,2.0NRT,277.49,1.19,N
42.28438,-83.11461,296.59,0.38,0.36,2025-10-29,0731,N,nominal,2.0NRT,278.31,0.36,N
42.28366,-83.10999,299.17,0.38,0.36,2025-10-29,0731,N,nominal,2.0NRT,279.16,0.36,N
42.28037,-83.11092,297.81,0.38,0.36,2025-10-29,0731,N,nominal,2.0NRT,280.19,0.66,N
42.28434,-83.15808,300.94,0.38,0.36,2025-10-29,0731,N,nominal,2.0NRT,281.19,0.72,N
40.47113,-75.89312,298.64,0.44,0.46,2025-10-29,0731,N,nominal,2.0NRT,279.26,0.66,N
41.46397,-81.67538,335.7,0.4,0.37,2025-10-29,0731,N,nominal,2.0NRT,279.98,1.93,N
41.46066,-81.67638,300.76,0.4,0.37,2025-10-29,0731,N,nominal,2.0NRT,275.85,1.93,N
41.45734,-81.67741,307.68,0.4,0.37,2025-10-29,0731,N,nominal,2.0NRT,275.39,0.88,N
41.45322,-81.67376,297.59,0.4,0.37,2025-10-29,0731,N,nominal,2.0NRT,273.73,0.88,N
41.73195,-83.52083,296.41,0.38,0.36,2025-10-29,0731,N,nominal,2.0NRT,277.07,0.34,N
41.21715,-80.51342,297.96,0.42,0.38,2025-10-29,0731,N,nominal,2.0NRT,273.94,0.78,N
41.67815,-83.45655,297.45,0.38,0.36,2025-10-29,0731,N,nominal,2.0NRT,280.34,0.92,N
41.63382,-83.50227,297.39,0.38,0.36,2025-10-29,0731,N,nominal,2.0NRT,281.02,1.17,N
41.43091,-82.26746,297.93,0.39,0.36,2025-10-29,0731,N,nominal,2.0NRT,277.8,1.09,N
41.13309,-80.69299,312.88,0.42,0.37,2025-10-29,0731,N,nominal,2.0NRT,275.26,0.94,N
41.13065,-80.69016,305.31,0.42,0.37,2025-10-29,0731,N,nominal,2.0NRT,273.96,1.32,N
41.46706,-83.36736,310.68,0.38,0.36,2025-10-29,0731,N,nominal,2.0NRT,277.72,1.62,N
41.56836,-84.04619,335.85,0.39,0.36,2025-10-29,0731,N,nominal,2.0NRT,280.65,4.43,N
41.56976,-84.05541,314.86,0.39,0.36,2025-10-29,0731,N,nominal,2.0NRT,279.82,1.73,N
